,name,played,run_bat,50s,100s,batted,out,bowled,wkt_tacken,5_wkt_taken,run_given_bowler,econ,over
0,ds smith,17,452,3,0,17,17,2,0,0,17,0.7734375,2.5
1,ba parchment,5,82,0,0,5,5,0,0,0,0,0.0,0.0
2,mn samuels,24,629,6,0,23,19,11,8,0,409,5.916251883506775,92.0
3,s chanderpaul,32,1344,10,2,31,23,1,0,0,19,8.847564458847046e-09,4.0
4,rs morton,10,254,1,0,10,9,0,0,0,0,0.0,0.0
5,dj bravo,37,792,3,0,34,33,35,44,0,1386,6.515477950114873,256.4
6,d ramdin,39,532,1,0,32,27,0,0,0,0,0.0,0.0
7,djg sammy,54,654,2,0,47,36,54,30,0,1889,6.96532222190069,380.5
8,r rampaul,30,196,1,0,20,16,30,42,1,1263,6.484860693756491,234.4
9,dbl powell,16,44,0,0,10,10,16,19,0,651,5.346034851074219,132.0
10,fh edwards,19,53,0,0,13,4,19,19,0,750,7.268580513000488,122.3
11,sm pollock,5,43,0,0,3,1,5,6,0,131,3.2006249999999996,47.0
12,dw steyn,45,137,0,0,20,14,45,72,1,1985,5.16696204579499,391.79999999999995
13,a nel,8,23,0,0,2,2,8,11,0,236,4.79640625,54.5
14,ck langeveldt,15,32,0,0,8,2,15,25,0,690,6.4517846679687505,130.2
15,ja morkel,26,340,0,0,19,13,24,19,0,897,4.356108273863793,150.10000000000002
16,gc smith,43,1541,11,2,43,41,0,0,0,0,0.0,0.0
17,ab de villiers,51,2167,14,5,49,40,0,0,0,0,0.0,0.0
18,jh kallis,42,1793,17,2,42,39,37,25,0,933,4.212677153744503,186.0
19,jp duminy,52,1447,11,0,48,37,31,13,0,589,3.504442287769032,116.0
20,jl ontong,2,50,0,0,2,2,0,0,0,0,0.0,0.0
21,mv boucher,32,441,0,0,28,19,0,0,0,0,0.0,0.0
22,hh gibbs,25,823,4,2,24,24,0,0,0,0,0.0,0.0
23,j botha,49,415,0,0,32,24,48,51,0,1894,3.422940773003086,415.2
24,m morkel,37,64,0,0,16,12,37,64,0,1521,5.154751959710848,307.8
25,je taylor,21,135,0,0,15,14,21,32,0,860,5.021793413162231,173.6
26,s chattergoon,9,180,1,0,8,8,1,0,0,30,0.01671875,7.0
27,pa browne,5,134,0,0,5,4,0,0,0,0,0.0,0.0
28,rn lewis,4,86,0,0,4,3,4,2,0,141,5.3675,26.0
29,m ntini,9,13,0,0,5,2,9,11,0,462,7.1713281250000005,75.0
30,ac gilchrist,9,308,2,1,9,9,0,0,0,0,0.0,0.0
31,ml hayden,8,298,3,0,8,8,0,0,0,0,0.0,0.0
32,rt ponting,73,2658,18,5,73,69,0,0,0,0,0.0,0.0
33,mj clarke,75,2760,21,3,74,60,37,17,0,661,7.514454681180042,135.2
34,a symonds,17,412,4,0,16,15,10,9,0,214,6.917642517089844,39.5
35,mek hussey,83,2788,22,1,77,58,3,0,0,60,2.098095377732534e-05,7.0
36,jr hopes,59,1022,3,0,47,40,55,46,0,1802,6.550434905684527,393.70000000000005
37,b lee,38,189,0,0,22,14,38,63,2,1582,3.47138586677429,328.4
38,wpujc vaas,15,89,0,0,11,8,15,12,0,492,4.153341064453125,124.0
39,sl malinga,47,197,1,0,27,24,47,74,2,2045,3.8599108349886784,400.8
40,mkdi amerasinghe,6,5,0,0,3,0,6,8,0,302,6.466875,54.0
41,m muralitharan,42,178,0,0,26,13,42,58,1,1748,4.671635818169525,380.1
42,ck kapugedera,50,1041,6,0,45,39,6,2,0,176,1.7500000000057139,33.0
43,nw bracken,39,52,0,0,15,7,39,54,1,1458,4.535686700627339,335.6
44,gb hogg,7,85,0,0,5,4,7,8,0,236,4.82859375,54.3
45,mg johnson,72,632,2,0,48,33,72,119,2,3010,4.295352175821094,623.4000000000001
46,wu tharanga,49,1655,8,5,49,44,0,0,0,0,0.0,0.0
47,st jayasuriya,39,1170,4,3,39,39,25,16,0,678,6.996787813105039,128.1
48,kc sangakkara,82,3283,23,5,81,78,0,0,0,0,0.0,0.0
49,dpmd jayawardene,79,2475,17,4,78,71,0,0,0,0,0.0,0.0
50,lpc silva,32,487,4,0,27,24,1,1,0,21,6.258487701416016e-07,4.0
51,tm dilshan,74,2509,10,7,72,68,36,14,0,724,4.631514499015392,142.4
52,an cook,22,890,8,1,22,20,0,0,0,0,0.0,0.0
53,p mustard,4,61,0,0,4,4,0,0,0,0,0.0,0.0
54,ir bell,40,986,3,0,39,36,0,0,0,0,0.0,0.0
55,kp pietersen,49,1305,4,2,46,43,12,5,0,235,0.8472083735980778,44.5
56,pd collingwood,53,1532,8,1,50,43,43,35,0,1188,2.628713133032477,251.6
57,oa shah,35,1088,8,0,33,30,5,1,0,73,5.603281897604465,13.1
58,rs bopara,44,1118,4,0,43,39,21,8,0,362,5.977126056549132,68.4
59,gp swann,52,311,0,0,35,26,50,72,1,1843,5.563465784392555,407.0
60,scj broad,54,235,0,0,32,25,54,95,1,2369,5.946386890487258,457.4
61,rj sidebottom,15,101,0,0,11,7,15,12,0,669,5.836595458984375,128.0
62,jm anderson,60,93,0,0,28,12,60,81,1,2549,4.775956313051655,488.7
63,kd mills,46,547,2,0,35,29,46,72,0,1887,5.195382651044447,385.0
64,cs martin,4,2,0,0,1,0,4,4,0,134,5.51125,27.0
65,jdp oram,32,613,5,0,25,22,32,32,0,941,4.198060853932985,236.4
66,sb styris,38,955,7,0,35,32,29,17,0,751,4.073557011209487,155.9
67,dl vettori,51,780,1,0,41,31,50,58,0,1705,3.3973944281254145,444.2
68,js patel,11,31,0,0,5,1,11,8,0,329,6.9409765625,68.0
69,jd ryder,28,964,5,2,28,27,14,8,0,346,4.405230443477631,55.5
70,bb mccullum,57,1481,7,1,56,55,0,0,0,0,0.0,0.0
71,jm how,22,374,1,0,21,21,0,0,0,0,0.0,0.0
72,lrpl taylor,61,1857,12,2,60,52,2,0,0,17,5.722045898486072e-06,4.0
73,pg fulton,7,78,0,0,6,5,0,0,0,0,0.0,0.0
74,bj haddin,60,1532,9,2,58,54,0,0,0,0,0.0,0.0
75,sr clark,10,10,0,0,4,2,10,12,0,274,4.0009375,74.1
76,s sreesanth,17,15,0,0,8,4,17,23,0,867,7.419650573730468,128.5
77,i sharma,42,46,0,0,15,10,42,61,0,1942,5.493987540669437,337.79999999999995
78,ik pathan,21,214,0,0,14,13,21,27,0,1033,5.570570430755615,177.4
79,harbhajan singh,59,334,0,0,35,28,59,76,1,2409,3.4699085775490355,518.0
80,v sehwag,54,2544,10,7,54,52,26,14,0,614,0.005333504862283745,113.5
81,yuvraj singh,73,2317,12,5,70,60,60,48,0,1803,5.060995238775556,365.4
82,sr tendulkar,39,1858,7,6,39,36,6,0,0,64,3.5629029140258353,9.5
83,g gambhir,77,3046,20,6,76,69,0,0,0,0,0.0,0.0
84,rg sharma,61,1582,10,1,59,44,22,6,0,304,2.0802950812745777,59.5
85,ms dhoni,88,3207,24,3,80,58,1,1,0,14,9.947598300641403e-14,2.0
86,rv uthappa,10,159,1,0,9,8,0,0,0,0,0.0,0.0
87,mf maharoof,16,219,0,0,13,10,16,17,1,654,6.189197387695312,121.1
88,kmdn kulasekara,64,566,1,0,48,32,64,81,0,2554,5.855612353642985,514.6
89,mj mason,3,2,0,0,2,0,3,4,0,159,5.984999999999999,27.0
90,pa hitchcock,1,11,0,0,1,0,1,0,0,56,8.0,7.0
91,ad mascarenhas,11,124,0,0,7,6,11,7,0,396,5.086728515625,78.0
92,lj wright,38,539,0,0,30,26,32,15,0,823,4.575963207915484,163.0
93,mm patel,40,42,0,0,16,6,40,50,0,1510,6.546511399215487,302.1
94,p kumar,55,262,1,0,29,18,55,66,0,2253,6.179407691242766,440.79999999999995
95,mdk perera,3,14,0,0,3,3,2,1,0,28,2.8925,7.0
96,dr flynn,11,167,0,0,11,10,1,0,0,6,0.375,1.0
97,pp chawla,8,16,0,0,4,2,8,7,0,382,5.666875,69.4
98,tamim iqbal,55,1409,9,1,55,54,2,0,0,13,6.25848790125616e-08,0.6
99,junaid siddique,28,694,4,0,28,28,2,0,0,13,4.32133674621582e-06,2.0
100,shahriar nafees,20,367,3,0,20,20,0,0,0,0,0.0,0.0
101,mohammad ashraful,40,846,6,0,40,38,10,0,0,151,5.296041298018099,21.0
102,shakib al hasan,53,1472,11,2,52,48,53,69,0,2109,2.7279633902052733,475.09999999999997
103,raqibul hasan,33,690,4,0,33,30,0,0,0,0,0.0,0.0
104,dhiman ghosh,10,123,0,0,10,8,0,0,0,0,0.0,0.0
105,mosharraf hossain,3,15,0,0,3,3,3,1,0,100,4.68,22.0
106,abdur razzak,51,331,0,0,40,26,51,52,0,2345,3.7296395493943093,444.4
107,shahadat hossain,17,49,0,0,12,5,17,14,0,761,6.207408905029297,114.5
108,syed rasel,15,22,0,0,9,5,15,9,0,618,6.493092651367188,114.3
109,pl harris,3,0,0,0,0,0,3,3,0,83,2.725,30.0
110,hm amla,43,1995,13,5,42,38,0,0,0,0,0.0,0.0
111,an petersen,10,225,3,0,8,7,1,0,0,7,0.013671875,1.0
112,nazimuddin,6,88,0,0,6,6,0,0,0,0,0.0,0.0
113,mashrafe mortaza,32,314,0,0,26,22,32,39,0,1313,7.652512298226357,255.4
114,farhad reza,12,116,0,0,12,10,11,9,0,354,2.233095703125,57.5
115,salman butt,33,1357,9,4,33,31,2,0,0,32,4.1101127862930297e-07,4.0
116,nasir jamshed,7,156,2,0,7,6,0,0,0,0,0.0,0.0
117,younis khan,60,1692,9,3,58,56,6,0,0,85,1.430512656997604e-05,14.1
118,mohammad yousuf,31,819,3,1,29,26,0,0,0,0,0.0,0.0
119,shoaib malik,41,1030,5,2,37,34,34,18,0,857,2.34912263651383,185.3
120,misbah-ul-haq,52,1568,13,0,46,34,0,0,0,0,0.0,0.0
121,shahid afridi,75,1490,3,2,66,61,75,103,3,3159,6.180492811247054,684.3
122,aftab ahmed,10,137,0,0,10,10,1,0,0,21,0.013671875,3.0
123,mahmudullah,47,1013,5,0,44,32,40,18,0,1240,2.497492768766067,215.6
124,kamran akmal,53,1456,6,2,50,46,0,0,0,0,0.0,0.0
125,sohail tanvir,25,137,0,0,16,11,25,32,1,1122,7.903031804561615,197.7
126,umar gul,52,224,0,0,32,25,52,87,1,2162,2.7822265728637694,414.3
127,iftikhar anjum,20,62,0,0,10,7,20,30,1,872,4.785894737243653,166.1
128,ml udawatte,3,57,0,0,3,3,0,0,0,0,0.0,0.0
129,sj benn,17,104,0,0,13,12,17,17,0,689,6.383011474609375,142.5
130,ch gayle,38,1286,5,3,38,37,29,11,0,740,0.5113447459886084,137.7
131,baw mendis,42,88,0,0,23,14,42,66,1,1592,4.891184040007515,351.8
132,rr sarwan,38,1152,11,0,36,35,3,4,0,114,6.190966814756393e-09,16.0
133,k weeraratne,2,38,0,0,2,2,2,0,0,60,7.6,8.0
134,bazid khan,2,53,1,0,2,2,0,0,0,0,0.0,0.0
135,fawad alam,22,482,3,0,20,15,6,1,0,195,0.00016797542572021484,30.0
136,sohail khan,3,4,0,0,1,1,3,4,0,125,4.890000000000001,26.1
137,mohammad asif,9,6,0,0,6,3,9,15,0,396,5.5820703125,85.0
138,naumanullah,1,5,0,0,1,1,0,0,0,0,0.0,0.0
139,wahab riaz,18,80,0,0,14,10,18,34,1,833,6.298243408203125,148.2
140,dolar mahmud,3,0,0,0,2,2,3,2,0,118,12.4775,11.0
141,alok kapali,12,270,0,1,12,12,10,7,0,289,4.539453125,47.0
142,mushfiqur rahim,47,958,4,0,46,43,0,0,0,0,0.0,0.0
143,yk pathan,48,729,3,2,36,27,44,32,0,1200,5.9671561659264265,212.8
144,sk raina,91,2362,16,2,81,65,39,14,0,629,3.5866516644512663,128.3
145,rp singh,17,52,0,0,6,5,17,17,0,743,6.586485595703126,124.0
146,tr ambrose,4,9,0,0,4,3,0,0,0,0,0.0,0.0
147,tg southee,41,162,0,0,27,19,40,56,1,1903,5.374790226454278,354.90000000000003
148,jah marshall,1,4,0,0,1,1,0,0,0,0,0.0,0.0
149,gj hopkins,14,227,0,0,14,13,0,0,0,0,0.0,0.0
150,gd elliott,29,716,4,1,27,21,19,12,0,397,5.009881683588028,76.3
151,mr gillespie,5,6,0,0,3,0,5,9,0,197,4.846875,45.2
152,ct tremlett,7,15,0,0,6,4,7,7,0,310,6.217499999999999,60.5
153,se marsh,35,1244,8,2,35,34,0,0,0,0,0.0,0.0
154,sr watson,67,2883,15,6,67,61,55,69,0,1793,4.63859412978004,366.5
155,cl white,61,1717,11,2,55,46,8,7,0,150,3.0000000000000036,25.4
156,xm marshall,10,87,0,0,10,10,1,0,0,5,0.0390625,0.3
157,ads fletcher,11,201,2,0,11,11,0,0,0,0,0.0,0.0
158,ka pollard,39,808,2,1,36,35,34,33,0,1106,7.000874654945147,198.10000000000002
159,crd fernando,17,48,0,0,10,4,17,21,0,813,4.62401840209961,143.0
160,sarfaraz ahmed,11,80,0,0,8,6,0,0,0,0,0.0,0.0
161,l ronchi,4,76,1,0,2,2,0,0,0,0,0.0,0.0
162,ms gony,1,0,0,0,0,0,1,2,0,65,8.12,8.0
163,pp ojha,15,34,0,0,8,1,14,19,0,566,2.27489990234375,129.1
164,t thushara,30,341,1,0,21,17,30,39,1,1201,5.79604209754616,223.4
165,mansoor amjad,1,5,0,0,1,1,1,1,0,44,5.5,8.0
