,winner,toss,ground,strength,bat_strengthA,ball_strengthA,bat_strengthB,ball_strengthB
0,1,1,1,0.04413,4.37967,3.56982,4.50005,3.35681
1,0,0,0,-1.02666,3.56471,2.63174,5.2009,3.75406
2,0,1,0,-0.74886,3.93305,2.35386,3.8271,4.48455
3,0,1,1,-0.35147,3.95572,2.57773,4.56412,2.78743
4,0,0,1,-0.34763,3.6795,2.77626,4.75009,2.69888
5,1,0,1,-0.26512,2.73199,3.17074,5.25311,1.96317
6,0,1,2,-1.16366,4.15491,2.76816,5.65809,4.71974
7,1,0,1,-1.81114,3.2521,2.0516,5.62225,3.49957
8,0,1,1,-0.78375,2.51629,3.51539,4.95676,4.01794
9,1,1,2,-0.05168,5.55526,3.48265,5.11945,3.91683
10,1,1,2,0.65876,5.90893,3.94374,4.45257,3.30516
11,0,1,1,-2.00918,3.76989,1.92016,5.44753,4.5539
12,0,1,2,-0.67042,3.97698,3.13384,5.54807,3.6156
13,1,1,1,-0.77226,3.49579,2.45598,5.51153,2.37509
14,1,1,2,0.65836,3.64204,3.17825,5.97203,1.43535
15,0,1,2,-0.77344,3.06416,2.55482,4.77562,2.79622
16,0,1,1,-0.20775,4.46247,3.72409,5.32003,3.65539
17,0,1,1,-2.86186,2.03149,1.68247,5.47545,5.17526
18,1,1,1,-0.62748,3.32839,4.23131,5.94622,4.27916
19,0,0,2,0.25093,4.65371,3.19595,5.47741,2.36855
20,0,0,1,-1.84472,1.82186,1.50305,3.33065,4.90796
21,1,1,0,-0.46113,4.45692,2.72491,4.59678,3.63589
22,0,0,1,-1.64272,1.82768,1.3673,2.71539,5.32481
23,1,1,1,0.21021,3.90963,4.09925,5.77827,2.41365
24,0,1,1,0.03699,3.80246,3.68343,6.53483,2.09952
25,1,0,1,-1.2414,2.94094,2.95473,6.543,3.0225
26,1,0,0,0.43558,5.42441,3.39454,4.31222,3.17975
27,1,0,2,0.99759,4.44149,3.8333,5.725,1.78296
28,0,1,2,-1.93852,4.68348,1.80634,6.08974,3.26879
29,0,0,0,-0.08242,4.95467,2.99137,6.11322,2.52635
30,1,1,2,-0.02822,5.29142,4.24249,5.71542,4.01178
31,0,1,2,0.75768,2.2706,4.37564,4.10196,1.33949
32,0,0,2,-0.52808,5.5106,4.02544,6.98612,4.56399
33,0,0,0,-0.2125,4.41773,2.25471,4.56888,2.43553
34,1,0,0,0.08717,4.5245,3.20234,5.57482,2.47507
35,1,0,2,-1.47004,3.31958,2.57644,5.80158,4.24639
36,1,0,2,-0.41304,3.85796,4.25472,5.01085,5.04526
37,0,1,1,-0.71678,5.48023,2.44722,5.4606,3.61835
38,1,1,1,-0.39353,4.98387,2.7762,5.15022,3.40985
39,1,1,1,-1.52952,4.74074,2.3832,6.53492,3.90972
40,1,0,1,0.27901,4.0526,4.39964,6.25748,2.38208
41,0,1,0,-1.05898,3.53071,2.81655,5.51928,3.92036
42,0,0,2,-3.26021,4.81817,1.22833,5.81594,3.26734
43,1,0,2,-0.67918,3.33468,3.59417,5.64153,3.74493
44,0,1,2,0.1946,3.99777,4.40644,5.39624,2.81687
45,0,0,2,-2.14378,2.343,2.51561,6.55907,5.05427
46,0,0,0,-0.97426,3.67408,2.56978,5.4863,3.16547
47,1,0,2,0.49618,4.78431,3.58484,3.60674,3.18469
48,0,0,0,-0.84581,3.48591,2.69372,5.53573,2.88271
49,1,0,2,-1.58432,3.02233,2.73417,5.77749,5.71606
50,1,1,2,-0.26717,3.70226,3.27579,5.23231,2.78346
51,1,1,2,-0.48109,4.01086,2.15372,4.84096,2.27035
52,1,1,0,-1.00018,3.63001,2.99196,5.99309,3.61955
53,0,1,0,-2.00139,3.31795,1.75526,5.09573,3.67951
54,0,1,1,-0.16013,2.74927,2.31859,4.1443,1.68947
55,0,1,1,-1.87661,2.23798,2.30529,5.95713,3.1632
56,1,1,0,-1.55135,5.09615,2.04621,6.60218,3.04213
57,1,1,0,-0.84009,3.68083,2.70806,5.85673,2.783
58,0,1,2,0.26768,5.05778,2.42317,5.2882,2.06438
59,0,1,2,-0.51879,4.32607,3.40641,6.12638,3.38056
60,0,1,2,-1.60439,4.45851,1.47096,6.24123,1.68974
61,0,0,2,0.0073,4.08622,2.79334,5.53151,2.05591
62,0,0,2,0.72221,4.75114,2.45047,6.20276,1.46033
63,0,1,1,-3.0191,2.11966,1.33939,4.83835,3.57295
64,0,1,0,-1.21269,3.28417,2.35549,4.97349,3.65412
65,0,0,0,-0.91637,3.80547,2.67066,5.31149,3.54834
66,0,0,0,-5.1717,4.31752,0.8735,5.32713,4.65794
67,0,1,0,0.27275,4.04202,4.72175,4.18425,3.48776
68,1,0,1,-1.1645,4.47096,3.34937,7.37484,4.30997
69,0,0,1,-0.88485,5.28685,2.78478,6.50713,3.6415
70,1,0,0,-1.13704,3.18759,3.1199,6.25485,3.67327
71,0,0,0,0.06741,4.25606,3.45544,5.55396,2.54135
72,0,0,1,-0.95971,5.23503,2.02143,5.46785,2.99963
73,1,0,0,-1.19221,2.75847,2.51095,4.50616,4.5792
74,1,1,2,-3.27136,3.68463,1.18262,5.61416,2.49662
75,1,1,1,-0.8626,2.74005,3.32115,6.08702,2.8242
76,1,1,0,-0.43086,2.76308,3.08049,3.32822,4.2538
77,0,0,1,-1.78769,3.25894,1.28811,3.24443,4.45776
78,1,1,1,0.69333,3.51058,3.89153,4.72264,1.84099
79,0,1,1,-1.45487,3.09656,2.39487,5.29832,4.08791
80,0,0,0,-1.08961,3.01796,2.43408,4.31578,4.41574
81,0,0,1,-0.86012,3.56176,2.52556,4.92752,3.26485
82,1,0,0,-2.08939,4.02616,1.45478,4.98819,3.00589
83,1,0,1,-0.61315,2.981,3.34917,5.62854,2.79271
84,0,0,0,-1.11379,3.07689,2.87412,5.1862,4.45499
85,0,1,0,-1.7551,5.03882,1.44513,5.64481,2.34256
86,0,0,2,-0.0907,5.00658,3.83079,5.63815,3.62507
87,0,1,0,-2.18809,2.87327,1.3351,4.47353,2.47138
88,1,0,1,-1.1186,3.90806,2.68313,6.85302,2.72241
89,1,1,1,0.06309,4.52101,3.2639,5.92255,2.4078
90,0,1,0,-2.98032,2.36836,1.24168,4.60345,3.2572
91,1,0,1,2.12715,5.35184,3.61879,6.44485,1.36943
92,0,0,0,-0.456,4.03932,3.49647,6.26833,3.02173
93,0,0,1,-2.2374,3.99696,1.68489,5.71045,3.47017
94,0,0,1,-2.25845,3.93988,1.67987,5.68211,3.50519
95,1,0,1,-2.10453,3.95094,1.69066,5.66477,3.17065
96,0,1,1,-3.2144,4.82534,1.29375,5.55129,4.48264
97,1,0,1,-0.30568,5.07515,2.54213,5.59353,2.67867
98,0,1,1,-2.4688,5.07895,1.37462,5.63746,3.11155
99,0,0,0,-4.162,3.5926,1.29929,6.36625,4.86933
100,0,1,0,-1.01866,2.85702,2.51944,4.31496,4.1167
101,0,1,1,0.47083,4.85771,2.91509,5.54525,2.04701
102,0,0,2,-0.13475,4.37466,2.99522,4.05865,3.58493
103,1,1,0,-1.20922,3.87415,2.27081,5.89255,2.79583
104,1,0,1,0.7969,3.94105,3.08832,4.1259,1.84777
105,1,0,2,-0.93102,3.03651,2.60455,4.75859,3.3889
106,0,0,2,-1.81995,5.21718,2.22009,6.95851,3.96926
107,1,1,1,-0.97843,3.53614,2.68679,5.72442,3.06918
108,0,1,2,-1.30624,3.94325,2.09385,4.4541,4.80305
109,1,1,2,-1.11784,3.84505,1.49617,4.66914,1.91975
110,0,0,2,-0.20066,3.79338,3.77225,5.08591,3.30553
111,0,0,2,-0.235,3.52776,3.13319,5.31025,2.41654
112,0,0,2,-1.53446,2.5387,2.22023,5.0963,3.33631
113,1,0,2,-0.3215,4.85908,2.76286,4.50217,3.7148
114,1,0,2,-1.65802,3.62074,2.20393,5.53684,4.23859
115,0,0,2,-3.0038,4.04284,1.5051,6.07721,3.91016
116,0,0,2,-0.37877,3.5666,3.54341,4.84785,3.60494
117,1,0,0,-1.22458,3.30997,2.77378,5.96256,3.57821
118,0,0,2,-0.59271,3.95425,3.38731,5.20885,4.18419
119,0,0,2,-0.47461,3.34649,3.66147,6.3176,2.67544
120,1,0,2,0.70259,4.81296,2.42165,4.59238,1.85186
121,1,0,2,-0.39165,3.63321,3.92105,5.77566,3.35993
122,1,0,2,1.20187,3.51682,2.80404,5.28773,1.139
123,1,0,2,0.41361,3.40861,4.10444,5.20473,2.02691
124,0,0,2,-2.04301,3.5797,1.91089,5.86004,3.49702
125,1,0,2,-1.10018,4.41761,2.51637,5.30387,4.38443
126,1,0,2,-1.45984,3.80521,1.90821,5.26475,2.92898
127,1,0,1,0.02955,3.42842,1.99217,4.61464,1.46143
